X,Y,Z,Yaw,Pitch,Roll
-3.73,-1.5,1,18.7,-4.79,-1.21
-3.73,-1.4697,1,18.36182,-4.767273,-1.186061
-3.73,-1.4394,1,18.02364,-4.744546,-1.162122
-3.73,-1.4091,1,17.68546,-4.721819,-1.138183
-3.73,-1.3788,1,17.34728,-4.699092,-1.114244
-3.73,-1.3485,1,17.0091,-4.676365,-1.090305
-3.73,-1.3182,1,16.67092,-4.653638,-1.066366
-3.73,-1.2879,1,16.33274,-4.630911,-1.042427
-3.73,-1.2576,1,15.99456,-4.608184,-1.018488
-3.73,-1.2273,1,15.65638,-4.585457,-0.994549
-3.73,-1.197,1,15.3182,-4.56273,-0.97061
-3.73,-1.1667,1,14.98002,-4.540003,-0.946671
-3.73,-1.1364,1,14.64184,-4.517276,-0.922732
-3.73,-1.1061,1,14.30366,-4.494549,-0.898793
-3.73,-1.0758,1,13.96548,-4.471822,-0.874854
-3.73,-1.0455,1,13.6273,-4.449095,-0.850915
-3.73,-1.0152,1,13.28912,-4.426368,-0.826976
-3.73,-0.9849,1,12.95094,-4.403641,-0.803037
-3.73,-0.9546,1,12.61276,-4.380914,-0.779098
-3.73,-0.9243,1,12.27458,-4.358187,-0.755159
-3.73,-0.894,1,11.9364,-4.33546,-0.73122
-3.73,-0.8637,1,11.59822,-4.312733,-0.707281
-3.73,-0.8334,1,11.26004,-4.290006,-0.683342
-3.73,-0.8031,1,10.92186,-4.267279,-0.659403
-3.73,-0.7728,1,10.58368,-4.244552,-0.635464
-3.73,-0.7425,1,10.2455,-4.221825,-0.611525
-3.73,-0.7122,1,9.90732,-4.199098,-0.587586
-3.73,-0.6819,1,9.56914,-4.176371,-0.563647
-3.73,-0.6516,1,9.23096,-4.153644,-0.539708
-3.73,-0.6213,1,8.89278,-4.130917,-0.515769
-3.73,-0.591,1,8.5546,-4.10819,-0.49183
-3.73,-0.5607,1,8.21642,-4.085463,-0.467891
-3.73,-0.5304,1,7.87824,-4.062736,-0.443952
-3.73,-0.5001,1,7.54006,-4.040009,-0.420013
-3.73,-0.4698,1,7.20188,-4.017282,-0.396074
-3.73,-0.4395,1,6.8637,-3.994555,-0.372135
-3.73,-0.4092,1,6.52552,-3.971828,-0.348196
-3.73,-0.3789,1,6.18734,-3.949101,-0.324257
-3.73,-0.3486,1,5.84916,-3.926374,-0.300318
-3.73,-0.3183,1,5.51098,-3.903647,-0.276379
-3.73,-0.288,1,5.1728,-3.88092,-0.25244
-3.73,-0.2577,1,4.83462,-3.858193,-0.228501
-3.73,-0.2274,1,4.49644,-3.835466,-0.204562
-3.73,-0.1971,1,4.15826,-3.812739,-0.180623
-3.73,-0.1668,1,3.82008,-3.790012,-0.156684
-3.73,-0.1365,1,3.4819,-3.767285,-0.132745
-3.73,-0.1062,1,3.14372,-3.744558,-0.108806
-3.73,-0.0759,1,2.80554,-3.721831,-0.084867
-3.73,-0.0456,1,2.46736,-3.699104,-0.060928
-3.73,-0.0153,1,2.12918,-3.676377,-0.036989
-3.73,0.015,1,1.791,-3.65365,-0.01305
-3.73,0.0453,1,1.45282,-3.630923,0.010889
-3.73,0.0756,1,1.11464,-3.608196,0.034828
-3.73,0.1059,1,0.77646,-3.585469,0.058767
-3.73,0.1362,1,0.43828,-3.562742,0.082706
-3.73,0.1665,1,0.1001,-3.540015,0.106645
-3.73,0.1968,1,-0.23808,-3.517288,0.130584
-3.73,0.2271,1,-0.57626,-3.494561,0.154523
-3.73,0.2574,1,-0.91444,-3.471834,0.178462
-3.73,0.2877,1,-1.25262,-3.449107,0.202401
-3.73,0.318,1,-1.5908,-3.42638,0.22634
-3.73,0.3483,1,-1.92898,-3.403653,0.250279
-3.73,0.3786,1,-2.26716,-3.380926,0.274218
-3.73,0.4089,1,-2.60534,-3.358199,0.298157
-3.73,0.4392,1,-2.94352,-3.335472,0.322096
-3.73,0.4695,1,-3.2817,-3.312745,0.346035
-3.73,0.4998,1,-3.61988,-3.290018,0.369974
-3.73,0.5301,1,-3.95806,-3.267291,0.393913
-3.73,0.5604,1,-4.29624,-3.244564,0.417852
-3.73,0.5907,1,-4.63442,-3.221837,0.441791
-3.73,0.621,1,-4.9726,-3.19911,0.46573
-3.73,0.6513,1,-5.31078,-3.176383,0.489669
-3.73,0.6816,1,-5.64896,-3.153656,0.513608
-3.73,0.7119,1,-5.98714,-3.130929,0.537547
-3.73,0.7422,1,-6.32532,-3.108202,0.561486
-3.73,0.7725,1,-6.6635,-3.085475,0.585425
-3.73,0.8028,1,-7.00168,-3.062748,0.609364
-3.73,0.8331,1,-7.33986,-3.040021,0.633303
-3.73,0.8634,1,-7.67804,-3.017294,0.657242
-3.73,0.8937,1,-8.01622,-2.994567,0.681181
-3.73,0.924,1,-8.3544,-2.97184,0.70512
-3.73,0.9543,1,-8.69258,-2.949113,0.729059
-3.73,0.9846,1,-9.03076,-2.926386,0.752998
-3.73,1.0149,1,-9.36894,-2.903659,0.776937
-3.73,1.0452,1,-9.70712,-2.880932,0.800876
-3.73,1.0755,1,-10.0453,-2.858205,0.824815
-3.73,1.1058,1,-10.38348,-2.835478,0.848754
-3.73,1.1361,1,-10.72166,-2.812751,0.872693
-3.73,1.1664,1,-11.05984,-2.790024,0.896632
-3.73,1.1967,1,-11.39802,-2.767297,0.920571
-3.73,1.227,1,-11.7362,-2.74457,0.94451
-3.73,1.2573,1,-12.07438,-2.721843,0.968449
-3.73,1.2876,1,-12.41256,-2.699116,0.992388
-3.73,1.3179,1,-12.75074,-2.676389,1.016327
-3.73,1.3482,1,-13.08892,-2.653662,1.040266
-3.73,1.3785,1,-13.4271,-2.630935,1.064205
-3.73,1.4088,1,-13.76528,-2.608208,1.088144
-3.73,1.4391,1,-14.10346,-2.585481,1.112083
-3.73,1.4694,1,-14.44164,-2.562754,1.136022
-3.73,1.5,1,-14.78,-2.54,1.16
-3.73,1.5,0.9886364,-14.78,-2.54,1.16
-3.73,1.5,0.9772728,-14.78,-2.54,1.16
-3.73,1.5,0.9659092,-14.78,-2.54,1.16
-3.73,1.5,0.9545456,-14.78,-2.54,1.16
-3.73,1.5,0.943182,-14.78,-2.54,1.16
-3.73,1.5,0.9318184,-14.78,-2.54,1.16
-3.73,1.5,0.9204548,-14.78,-2.54,1.16
-3.73,1.5,0.9090912,-14.78,-2.54,1.16
-3.73,1.5,0.8977276,-14.78,-2.54,1.16
-3.73,1.5,0.886364,-14.78,-2.54,1.16
-3.73,1.5,0.8750004,-14.78,-2.54,1.16
-3.73,1.5,0.8636368,-14.78,-2.54,1.16
-3.73,1.5,0.8522732,-14.78,-2.54,1.16
-3.73,1.5,0.8409096,-14.78,-2.54,1.16
-3.73,1.5,0.829546,-14.78,-2.54,1.16
-3.73,1.5,0.8181824,-14.78,-2.54,1.16
-3.73,1.5,0.8068188,-14.78,-2.54,1.16
-3.73,1.5,0.7954552,-14.78,-2.54,1.16
-3.73,1.5,0.7840916,-14.78,-2.54,1.16
-3.73,1.5,0.772728,-14.78,-2.54,1.16
-3.73,1.5,0.7613644,-14.78,-2.54,1.16
-3.73,1.5,0.7500008,-14.78,-2.54,1.16
-3.73,1.5,0.7386372,-14.78,-2.54,1.16
-3.73,1.5,0.7272736,-14.78,-2.54,1.16
-3.73,1.5,0.71591,-14.78,-2.54,1.16
-3.73,1.5,0.7045464,-14.78,-2.54,1.16
-3.73,1.5,0.6931828,-14.78,-2.54,1.16
-3.73,1.5,0.6818192,-14.78,-2.54,1.16
-3.73,1.5,0.6704556,-14.78,-2.54,1.16
-3.73,1.5,0.659092,-14.78,-2.54,1.16
-3.73,1.5,0.6477284,-14.78,-2.54,1.16
-3.73,1.5,0.6363648,-14.78,-2.54,1.16
-3.73,1.5,0.6250012,-14.78,-2.54,1.16
-3.73,1.5,0.6136376,-14.78,-2.54,1.16
-3.73,1.5,0.602274,-14.78,-2.54,1.16
-3.73,1.5,0.5909104,-14.78,-2.54,1.16
-3.73,1.5,0.5795468,-14.78,-2.54,1.16
-3.73,1.5,0.5681832,-14.78,-2.54,1.16
-3.73,1.5,0.5568196,-14.78,-2.54,1.16
-3.73,1.5,0.545456,-14.78,-2.54,1.16
-3.73,1.5,0.5340924,-14.78,-2.54,1.16
-3.73,1.5,0.5227288,-14.78,-2.54,1.16
-3.73,1.5,0.5113652,-14.78,-2.54,1.16
-3.73,1.5,0.5,-14.78,-2.54,1.16
